award_fact_id,winner_artist_id,winner_track_id,grammy_event_id
513,,5OCqPlMA6Ua1XopC57baFh,138
514,,5gPmpgnbsl3d6u9s8bIMcb,138
515,,5r8TJ68YtO9bSLknzMOfVu,138
516,,79mxynFVrkYCXwFEsgZmCX,138
517,,0Z2NiMOKlPxBNjecKIn0It,145
518,,2VxeLyX666F8uXCJ0dZF8B,145
519,,2WQRPsMOrbeqms7JgmmVv3,145
520,,2WihaIEZnX9dNRinCebwUj,145
521,,6yyMx2bMYGS9jVfqc6G5Ay,145
522,,5fIdzVg7mNYqTNsXp91qym,147
523,,1TnUURhehaoMWKAqQtirm6,153
524,,1ZtVN326V42hioNyRjU4P2,153
525,,1oACG26rFg4XwAkW5oGGUa,153
526,,21t2aeBdnMEl2xVG4ORhP7,153
527,,6bPPyigCphBBQ9781j6eKM,153
528,,6d4FWjx72iuRWzn1HwywLK,153
529,,72SPsHheqN6J3sI520jT9E,153
530,,4vD9Wlh2VV52kFjt5rtHFz,169
531,,4vD9Wlh2VV52kFjt5rtHFz,170
532,,0KKkJNfGyhkQ5aFogxQAPU,171
533,,571K2H9m407zXaFXnpoas1,173
534,,7qiZfU4dY1lWllzX7mPBI3,173
535,,70RzloawWHzYQoOcUhabfG,174
536,,5vzDuKCpZrTiFYuukkg50W,179
537,,5zb7npjQqoJ7Kcpq4yD9qn,180
538,,0VLaaS481wSlMnf6UEQnJM,182
539,,0cFIq4boiMcIG7viSDiU5u,182
540,,0yjxW8s0Uuk9uKi0Nh9B7T,182
541,,1wLQwg0mloy3yXjL0jPE0N,182
542,,1wvs9V8xEJStRzx78lSNJK,182
543,,20Qqyt4bd1oe4KmkTagb2K,182
544,,2C7PtVuG50IBrcUlTZ13ZG,182
545,,2UbVnbE5FH6008mAm6Mmgw,182
546,,3G1aAxWS2Nd17FQs4PWV6X,182
547,,3HxX5qcaz2phmsJVPskugD,182
548,,3tjC9XdMwEF8KW82F6rV6f,182
549,,423bvgQOTSKshdn6Yhr9SX,182
550,,4hrAKlxfblnG7llBEEX7TR,182
551,,5Y3KCJ2J34Y3nHeNDCxfSI,182
552,,6KL88T4Ma4ABXqzgUoEwkd,182
553,,7Ay1JeXkSBpZRMB6dYHc3k,182
554,,7bQBXiL4dGxZNN6lLSjgP6,182
555,,7xoDqnyrBDgusvQ1AHoOSx,182
556,,7yUukIX492jvLR85xYQkvc,182
557,,0KKkJNfGyhkQ5aFogxQAPU,185
558,,0KKkJNfGyhkQ5aFogxQAPU,187
559,,0Jfqd9wbqlDAT5wCrck0Dc,188
560,,26Yk79sAcZyBZZGTvo1Woi,188
561,,2MugnVou4z1c7oh1kWHfZO,188
562,,7MXVkk9YMctZqd1Srtv4MB,188
563,,4vD9Wlh2VV52kFjt5rtHFz,189
564,,0aLrHZKT7pcszo0e5SiMIG,190
565,,7KXjTSCq5nL1LoYtL7XAwS,190
566,,0aLrHZKT7pcszo0e5SiMIG,192
567,,7KXjTSCq5nL1LoYtL7XAwS,192
568,,0cEill2tVJ38caZlb3LyFy,193
569,,1ZiTQSxZmbff7hmjD8fENw,193
570,,4mwjmreHLdjaQk47WhOZnA,193
571,,5SfNRmPGCTyhfTOmIPgt49,193
572,,7dNxxkapvf5eRkw24PHSpy,193
573,,2B98ljvzqpCVgt5reTHq28,195
574,,3XisFctSbOjOBbagdtsP9U,195
575,,6PN51jW5TJ4XOFMO41lc6h,195
576,,7dlCAK8HdnI6UGHqZkfvJT,196
577,,0MYqimbl02aogFBWyx75bV,201
578,,1c3OaOeSogCpXTa8BhnBEq,201
579,,2maR9zs9UfgQpB1hr9UjpS,201
580,,4dIoimQas4pY5JkvDF88B0,201
581,,535sg5Q0QFrgXvMkdznzeR,201
582,,7xksh2SM8hEDJWJtXsRwzp,201
583,,4EiKZxDgW0sbT8BZ9Gl6dC,205
584,,5XCtjnFMKtCT7ycDwV3Kdh,205
585,,6onxTIB79enhIQPpE00CEm,209
586,,6rHJao2szlpRaFS2rg2NbV,227
587,,6rHJao2szlpRaFS2rg2NbV,228
588,,1ERshJBUZysordGDZr5B3t,229
589,,3ZUdr5glJJ9FWxDeE5kXIo,229
590,,4XNNf7EtykRU3gCVsnvssV,229
591,,5vUVe1o9MvB6161zjXlMxc,229
592,,4vD9Wlh2VV52kFjt5rtHFz,237
593,,56nRf5DNZU85oNG2QWxT1K,250
594,,0aLrHZKT7pcszo0e5SiMIG,251
595,,7KXjTSCq5nL1LoYtL7XAwS,251
596,,0ozqdYQjGNEAtcZnVheEiA,253
597,,1Yk0cQdMLx5RzzFTYwmuld,253
598,,1YrZuuVG0vZWvsahkSx5WC,253
599,,2kNh8bRILldURA7Bw05Nv9,253
600,,3BbBUezZTVqAIzoyyvxDrG,253
601,,41Lve6OfiwXjLUlkjNihU4,253
602,,43djyGEvUsYRphVLkWk6kL,253
603,,5r7CAzBvLfBstuZnhnh24M,253
604,,5s3XtrhzIKNZaiFpt7Gp5W,253
605,,6HMvJcdw6qLsyV1b5x29sa,253
606,,7qwt4xUIqQWCu1DJf96g2k,253
607,,0G2qJ6yEYNqIVZLaLFhum1,254
608,,0ozqdYQjGNEAtcZnVheEiA,255
609,,1Yk0cQdMLx5RzzFTYwmuld,255
610,,1YrZuuVG0vZWvsahkSx5WC,255
611,,2kNh8bRILldURA7Bw05Nv9,255
612,,3BbBUezZTVqAIzoyyvxDrG,255
613,,41Lve6OfiwXjLUlkjNihU4,255
614,,43djyGEvUsYRphVLkWk6kL,255
615,,5r7CAzBvLfBstuZnhnh24M,255
616,,5s3XtrhzIKNZaiFpt7Gp5W,255
617,,6HMvJcdw6qLsyV1b5x29sa,255
